,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
73,@BBC,27,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,0.0,0.0,0.0,1.0,Wed Mar 28 11:42:34 +0000 2018,2018-03-28 11:42:34+00:00
74,@BBC,26,??? People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,0.3182,0.108,0.056,0.837,Wed Mar 28 11:30:09 +0000 2018,2018-03-28 11:30:09+00:00
75,@BBC,25,"? Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",0.0,0.0,0.0,1.0,Wed Mar 28 11:04:03 +0000 2018,2018-03-28 11:04:03+00:00
76,@BBC,24,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",0.0,0.0,0.0,1.0,Wed Mar 28 10:53:47 +0000 2018,2018-03-28 10:53:47+00:00
77,@BBC,23,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,-0.3612,0.0,0.135,0.865,Wed Mar 28 10:33:03 +0000 2018,2018-03-28 10:33:03+00:00
78,@BBC,22,?? Are your bathroom toys in-fact DEADLY? ? https://t.co/YrtMOzTvrb,0.0,0.0,0.0,1.0,Wed Mar 28 09:53:41 +0000 2018,2018-03-28 09:53:41+00:00
79,@BBC,21,"RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…",0.0,0.0,0.0,1.0,Wed Mar 28 09:14:19 +0000 2018,2018-03-28 09:14:19+00:00
80,@BBC,20,"?? After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w",-0.7351,0.0,0.256,0.744,Wed Mar 28 08:00:02 +0000 2018,2018-03-28 08:00:02+00:00
81,@BBC,19,"? Feeling moody? 
Your gut bacteria might be to blame...
? https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR",-0.25,0.115,0.192,0.692,Wed Mar 28 07:30:05 +0000 2018,2018-03-28 07:30:05+00:00
82,@BBC,18,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq",-0.4588,0.0,0.176,0.824,Wed Mar 28 07:00:02 +0000 2018,2018-03-28 07:00:02+00:00
